region,days_to_trend,title_sentiment_score,views
IN,3,0.03816357027243611,1757467.7418973532
CA,2,-0.041636244740538064,1446162.3965025863
US,1,-0.9487158683871286,852210.7958446627
IN,4,-0.3175043447476873,3124637.665197935
IN,3,-0.23960876242828588,223736.87170445014
CA,0,-0.20235443820619903,115707.4278197645
US,6,0.16034473845466457,1923888.190892786
US,4,0.06720509345375691,578301.4619474765
IN,8,0.21581018558688925,1877113.811032593
GB,3,0.5297665230842565,2235769.839287117
IN,2,0.625971477432187,64493.2886875834
IN,1,0.4362461524529888,2149561.5880703228
IN,7,0.9110473919098694,594785.3986684247
IN,5,-0.9635348346472767,714232.9082461058
CA,0,-0.6084440286329078,985084.9920853021
US,0,-0.9848742500437158,2608873.9595647757
CA,1,0.294949428309206,19301.169365585843
CA,4,0.7960610978999738,647874.5639378233
CA,12,-0.5130354068474015,1163861.5981336585
IN,0,0.8540690895926133,1282680.4175451046
GB,2,-0.8794652194208783,1179385.665711108
US,1,0.8688720536110286,144372.95559530932
GB,9,-0.2967546255207312,355811.87130977405
CA,5,-0.797158343101567,444282.1224093347
CA,5,-0.02825648162734873,1631873.7627865213
GB,1,-0.4864468645589841,326783.149176632
GB,1,-0.43025419607615434,236615.09123624855
GB,0,-0.38542007014742685,3157028.8689500084
CA,0,0.6060517956653269,8902.797672285236
CA,5,0.07832255335050897,6128822.993904087
US,4,-0.3773846016879927,1129549.8544367533
GB,2,-0.45475199853293247,14418.729738011521
GB,4,-0.17290179694929697,1338912.8784347004
US,8,-0.7562278133261049,1796638.9364934007
CA,5,-0.6377013009306394,1348906.6035480942
US,0,0.3622357079299656,154142.6817102217
US,1,-0.6371233046087461,1400100.9236042541
IN,0,0.05032676733412034,1465003.3477280163
IN,8,0.41809252344486536,1074526.247331881
IN,2,-0.7862461538105123,1452929.7256924133
GB,0,0.1346244392578071,1870292.6746788048
CA,3,-0.4868744325972725,950892.8243129305
CA,2,0.9258537504751596,92778.57239491574
CA,1,-0.03290870656015055,668703.9837876222
CA,0,0.6119850995503162,80829.79657432533
IN,3,0.10045308431252353,523477.03482533526
GB,2,-0.9131749342903617,522740.4730506311
GB,4,0.2663027511880447,68289.38057355076
IN,2,0.902806684413314,428969.99729938066
GB,5,0.20322364029266238,117655.90487807251
IN,2,0.6383777188535804,1651485.7100754804
CA,2,0.7684129266968156,2950529.9850619985
IN,5,-0.543840456102135,75064.63373245577
CA,1,-0.5759103201835467,3103656.2340686857
CA,0,0.22196197770198345,739351.5493887612
US,0,-0.17794306038659058,356054.67627860204
IN,3,0.6797226057334407,79976.62473957209
US,2,0.8000462467960223,694396.4967713936
IN,3,-0.2931572413945638,1582384.890197618
IN,0,-0.5262588820510359,1227877.8577836498
US,0,0.5610510304877236,51531.22949604646
US,0,-0.4503879289037278,75695.82405825247
IN,1,0.6452286370273568,515625.93121608766
GB,2,-0.15252349270247434,349969.609380049
CA,1,0.3350997985829409,264466.09173255955
US,1,-0.8089293723306636,329900.17845551163
CA,6,0.24771864935314603,1627005.031156716
GB,1,-0.09646464252554177,2648292.5945434277
